No,Komentar,Label Awal,Label Pakar,Pasal Dominan,Catatan,Unnamed: 6,clean_comment,Kode Label,Komentar_preprocessed,jumlah_kata,Kategori_Panjang
5708.0,Apakah seorang maling anak'y jg akan menjadi maling..???,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Ambigu atau konteks tidak cukup,,Pertanyaan umum tanpa target yang jelas.,,apakah seorang maling anak'y jg akan menjadi maling..???,C4,apakah seorang maling anak'y jg akan menjadi maling..???,8,6–10 kata
495.0,"​@HanaFanda-wx1cciyaa betul,
Meni hese ngesahkeun pearampasan aset korupsi oge si gehel teh",Netral atau tidak terindikasi,Konten ofensif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar menggunakan bahasa kasar atau merendahkan terhadap korupsi. Bahasa ofensif saja tidak cukup untuk Pasal 27A tanpa tuduhan perbuatan tertentu, dan tidak cukup untuk Pasal 28 ayat (2) tanpa hasutan berbasis identitas.
",,"​@hanafanda-wx1cciyaa betul, meni hese ngesahkeun pearampasan aset korupsi oge si gehel teh",C2,"​@hanafanda-wx1cciyaa betul, meni hese ngesahkeun pearampasan aset korupsi oge si gehel teh",12,11–20 kata
1841.0,Omongan nya pak bahlil sering kontradiksi. Lahdala,Netral atau tidak terindikasi,Netral atau tidak terindikasi,,,,omongan nya pak bahlil sering kontradiksi. lahdala,C0,omongan nya pak bahlil sering kontradiksi. lahdala,7,6–10 kata
6483.0,Astagfirullah. Katanya Wakil Rakyat tapi kelakuan maling kundang & dzolim sama tuannya (RAKYAT).,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Konten ofensif,,Menuduh wakil rakyat sebagai maling dan zalim.,,astagfirullah. katanya wakil rakyat tapi kelakuan maling kundang & dzolim sama tuannya (rakyat).,C2,astagfirullah. katanya wakil rakyat tapi kelakuan maling kundang & dzolim sama tuannya (rakyat).,13,11–20 kata
2222.0,"Cobalah pampang ke45 poin itu di media sosial, supaya rakyat Indonesia tau,,",Netral atau tidak terindikasi,Ambigu atau konteks tidak cukup,,komentar ini belum menunjukkan unsur yang cukup untuk dikategorikan sebagai penghinaan atau kebencian; isinya masih berupa respons umum.,,"cobalah pampang ke45 poin itu di media sosial, supaya rakyat indonesia tau,,",C4,"cobalah pampang ke45 poin itu di media sosial, supaya rakyat indonesia tau,,",12,11–20 kata
,Hentikan mbg..motong honor rt,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,Data tambahan kelas C4 berdasarkan karakteristik komentar ambigu,,hentikan mbg..motong honor rt,C4,hentikan mbg..motong honor rt,4,1–5 kata
6109.0,Namanya juga udah diwakilkan kesejahteraannya,Netral atau tidak terindikasi,Netral atau tidak terindikasi,,Sindiran ringan tanpa sasaran individu tertentu.,,namanya juga udah diwakilkan kesejahteraannya,C0,namanya juga udah diwakilkan kesejahteraannya,5,1–5 kata
5957.0,"iya ih, dy tuh sehat gak ya kejiwaannya¿¿ org anak SMP bnyk yg blm bisa baca, IQ anak Perguruan Tinggi indonesia setara IQ SMP di negara maju",Netral atau tidak terindikasi,Konten ofensif,,Meragukan kondisi kejiwaan dan merendahkan kemampuan intelektual.,,"iya ih, dy tuh sehat gak ya kejiwaannya¿¿ org anak smp bnyk yg blm bisa baca, iq anak perguruan tinggi indonesia setara iq smp di negara maju",C2,"iya ih, dy tuh sehat gak ya kejiwaannya¿¿ org anak smp bnyk yg blm bisa baca, iq anak perguruan tinggi indonesia setara iq smp di negara maju",27,>20 kata
296.0," @wingkasetiati6138  Astaga! 23 Warga Koja Keracunan Usai Santap Nasi Kotak dari PSI. Warga RW 06, Kelurahan Koja, Jakarta Utara keracunan setelah menyantap nasi kotak yang dibagikan petugas Partai Solidaritas Indonesia (PSI) pada Minggu (24/10/2021) sore. sebanyak 23 warga keracunan setelah menyantap nasi kotak yang berisi lauk telur, sayur buncis dan tempe orek dan dibawa di IGD Rumah Sakit Koja. ccc",Konten ofensif,Kritik atau opini negatif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar menyampaikan penilaian atau kritik terhadap partai politik, tetapi tidak menuduhkan satu perbuatan konkret yang dapat diuji kebenarannya. Kritik atau opini negatif tidak otomatis menjadi Pasal 27A, dan tidak terdapat unsur Pasal 28 ayat (2).
",,"@wingkasetiati6138 astaga! 23 warga koja keracunan usai santap nasi kotak dari psi. warga rw 06, kelurahan koja, jakarta utara keracunan setelah menyantap nasi kotak yang dibagikan petugas partai solidaritas indonesia (psi) pada minggu (24/10/2021) sore. sebanyak 23 warga keracunan setelah menyantap nasi kotak yang berisi lauk telur, sayur buncis dan tempe orek dan dibawa di igd rumah sakit koja. ccc",C1,"@wingkasetiati6138 astaga! 23 warga koja keracunan usai santap nasi kotak dari psi. warga rw 06, kelurahan koja, jakarta utara keracunan setelah menyantap nasi kotak yang dibagikan petugas partai solidaritas indonesia (psi) pada minggu (24/10/2021) sore. sebanyak 23 warga keracunan setelah menyantap nasi kotak yang berisi lauk telur, sayur buncis dan tempe orek dan dibawa di igd rumah sakit koja. ccc",60,>20 kata
,Pemerintah kok dungu...cerdas pk roky gerung..,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,Data tambahan kelas C4 berdasarkan karakteristik komentar ambigu,,pemerintah kok dungu...cerdas pk roky gerung..,C4,pemerintah kok dungu...cerdas pk roky gerung..,6,6–10 kata
2295.0,Tetap Ganjar plg hebat dan jujur,Netral atau tidak terindikasi,Netral atau tidak terindikasi,,"komentar ini tidak menunjukkan penghinaan, kebencian, atau serangan yang cukup jelas; isinya lebih berupa pernyataan biasa atau pendapat umum",,tetap ganjar plg hebat dan jujur,C0,tetap ganjar plg hebat dan jujur,6,6–10 kata
7636.0,"​ @Febri-wp7in anjir iblis tertawa melihat komentar ini, fitnah sungguh luar biasa yah walaupun kebanyakan pejabat kaya gitu trmsk DPR, tapi gak semuanya juga bro😅 kasihan itu yg ikhlas bekerja tapi kena semprot, yah katakan saja hanya krn beberapa orang terlibat semua orang harus disalahkan ibaratnya kaya gitu aja, mindset idiot kalau orang2 mikirnya kaya gitu semua. Kalau mau hapus DPR hapus aja terserah kalau saya, saya disini tdk mendukung siapapun!",Konten ofensif,Netral atau tidak terindikasi,,Menolak generalisasi terhadap DPR.,,"​ @febri-wp7in anjir iblis tertawa melihat komentar ini, fitnah sungguh luar biasa yah walaupun kebanyakan pejabat kaya gitu trmsk dpr, tapi gak semuanya juga bro😅 kasihan itu yg ikhlas bekerja tapi kena semprot, yah katakan saja hanya krn beberapa orang terlibat semua orang harus disalahkan ibaratnya kaya gitu aja, mindset idiot kalau orang2 mikirnya kaya gitu semua. kalau mau hapus dpr hapus aja terserah kalau saya, saya disini tdk mendukung siapapun!",C0,"​ @febri-wp7in anjir iblis tertawa melihat komentar ini, fitnah sungguh luar biasa yah walaupun kebanyakan pejabat kaya gitu trmsk dpr, tapi gak semuanya juga bro😅 kasihan itu yg ikhlas bekerja tapi kena semprot, yah katakan saja hanya krn beberapa orang terlibat semua orang harus disalahkan ibaratnya kaya gitu aja, mindset idiot kalau orang2 mikirnya kaya gitu semua. kalau mau hapus dpr hapus aja terserah kalau saya, saya disini tdk mendukung siapapun!",71,>20 kata
,EGP lah yaw... 🤣🤣🤣,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,Data tambahan kelas C4 berdasarkan karakteristik komentar ambigu,,egp lah yaw... 🤣🤣🤣,C4,egp lah yaw... 🤣🤣🤣,4,1–5 kata
