No,Komentar,Label Awal,Label Pakar,Pasal Dominan,Catatan,Unnamed: 6,Kode Label,jumlah_kata,jumlah_karakter,clean_comment,Komentar_clean,Komentar_preprocessed
5708.0,Apakah seorang maling anak'y jg akan menjadi maling..???,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Ambigu atau konteks tidak cukup,,Pertanyaan umum tanpa target yang jelas.,,C4,8.0,56.0,apakah seorang maling anak'y jg akan menjadi maling..???,apakah seorang maling anak'y jg akan menjadi maling..?,apakah seorang maling anaknya juga akan menjadi maling..?
495.0,"​@HanaFanda-wx1cciyaa betul,
Meni hese ngesahkeun pearampasan aset korupsi oge si gehel teh",Netral atau tidak terindikasi,Konten ofensif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar menggunakan bahasa kasar atau merendahkan terhadap korupsi. Bahasa ofensif saja tidak cukup untuk Pasal 27A tanpa tuduhan perbuatan tertentu, dan tidak cukup untuk Pasal 28 ayat (2) tanpa hasutan berbasis identitas.
",,C2,12.0,91.0,"​@hanafanda-wx1cciyaa betul, meni hese ngesahkeun pearampasan aset korupsi oge si gehel teh","​-wx1cciyaa betul, meni hese ngesahkeun pearampasan aset korupsi oge si gehel teh","​-wx1cciyaa betul, meni hese ngesahkeun pearampasan aset korupsi oge si gehel teh"
1841.0,Omongan nya pak bahlil sering kontradiksi. Lahdala,Netral atau tidak terindikasi,Netral atau tidak terindikasi,,,,C0,7.0,50.0,omongan nya pak bahlil sering kontradiksi. lahdala,omongan nya pak bahlil sering kontradiksi. lahdala,omongan nya pak bahlil sering kontradiksi. lahdala
6483.0,Astagfirullah. Katanya Wakil Rakyat tapi kelakuan maling kundang & dzolim sama tuannya (RAKYAT).,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Konten ofensif,,Menuduh wakil rakyat sebagai maling dan zalim.,,C2,13.0,96.0,astagfirullah. katanya wakil rakyat tapi kelakuan maling kundang & dzolim sama tuannya (rakyat).,astagfirullah. katanya wakil rakyat tapi kelakuan maling kundang & dzolim sama tuannya (rakyat).,astagfirullah. katanya wakil rakyat tetapi kelakuan maling kundang & dzolim sama tuannya (rakyat).
2222.0,"Cobalah pampang ke45 poin itu di media sosial, supaya rakyat Indonesia tau,,",Netral atau tidak terindikasi,Ambigu atau konteks tidak cukup,,komentar ini belum menunjukkan unsur yang cukup untuk dikategorikan sebagai penghinaan atau kebencian; isinya masih berupa respons umum.,,C4,12.0,76.0,"cobalah pampang ke45 poin itu di media sosial, supaya rakyat indonesia tau,,","cobalah pampang ke45 poin itu di media sosial, supaya rakyat indonesia tau,,","cobalah pampang ke45 poin itu di media sosial, supaya rakyat indonesia tau,,"
,Hentikan mbg..motong honor rt,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,Data tambahan kelas C4 berdasarkan karakteristik komentar ambigu,,C4,,,hentikan mbg..motong honor rt,hentikan mbg..motong honor rt,hentikan mbg..motong honor rt
6109.0,Namanya juga udah diwakilkan kesejahteraannya,Netral atau tidak terindikasi,Netral atau tidak terindikasi,,Sindiran ringan tanpa sasaran individu tertentu.,,C0,5.0,45.0,namanya juga udah diwakilkan kesejahteraannya,namanya juga udah diwakilkan kesejahteraannya,namanya juga sudah diwakilkan kesejahteraannya
5957.0,"iya ih, dy tuh sehat gak ya kejiwaannya¿¿ org anak SMP bnyk yg blm bisa baca, IQ anak Perguruan Tinggi indonesia setara IQ SMP di negara maju",Netral atau tidak terindikasi,Konten ofensif,,Meragukan kondisi kejiwaan dan merendahkan kemampuan intelektual.,,C2,27.0,141.0,"iya ih, dy tuh sehat gak ya kejiwaannya¿¿ org anak smp bnyk yg blm bisa baca, iq anak perguruan tinggi indonesia setara iq smp di negara maju","iya ih, dy tuh sehat gak ya kejiwaannya¿¿ org anak smp bnyk yg blm bisa baca, iq anak perguruan tinggi indonesia setara iq smp di negara maju","iya ih, dia tuh sehat tidak ya kejiwaannya¿¿ orang anak sampai banyak yang belum bisa baca, iq anak perguruan tinggi indonesia setara iq sampai di negara maju"
296.0," @wingkasetiati6138  Astaga! 23 Warga Koja Keracunan Usai Santap Nasi Kotak dari PSI. Warga RW 06, Kelurahan Koja, Jakarta Utara keracunan setelah menyantap nasi kotak yang dibagikan petugas Partai Solidaritas Indonesia (PSI) pada Minggu (24/10/2021) sore. sebanyak 23 warga keracunan setelah menyantap nasi kotak yang berisi lauk telur, sayur buncis dan tempe orek dan dibawa di IGD Rumah Sakit Koja. ccc",Konten ofensif,Kritik atau opini negatif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar menyampaikan penilaian atau kritik terhadap partai politik, tetapi tidak menuduhkan satu perbuatan konkret yang dapat diuji kebenarannya. Kritik atau opini negatif tidak otomatis menjadi Pasal 27A, dan tidak terdapat unsur Pasal 28 ayat (2).
",,C1,60.0,405.0,"@wingkasetiati6138 astaga! 23 warga koja keracunan usai santap nasi kotak dari psi. warga rw 06, kelurahan koja, jakarta utara keracunan setelah menyantap nasi kotak yang dibagikan petugas partai solidaritas indonesia (psi) pada minggu (24/10/2021) sore. sebanyak 23 warga keracunan setelah menyantap nasi kotak yang berisi lauk telur, sayur buncis dan tempe orek dan dibawa di igd rumah sakit koja. ccc","astaga! 23 warga koja keracunan usai santap nasi kotak dari psi. warga rw 06, kelurahan koja, jakarta utara keracunan setelah menyantap nasi kotak yang dibagikan petugas partai solidaritas indonesia (psi) pada minggu (24/10/2021) sore. sebanyak 23 warga keracunan setelah menyantap nasi kotak yang berisi lauk telur, sayur buncis dan tempe orek dan dibawa di igd rumah sakit koja. c","astaga! 23 warga koja keracunan usai santap nasi kotak dari psi. warga rw 06, kelurahan koja, jakarta utara keracunan setelah menyantap nasi kotak yang dibagikan petugas partai solidaritas indonesia (psi) pada minggu (24/10/2021) sore. sebanyak 23 warga keracunan setelah menyantap nasi kotak yang berisi lauk telur, sayur buncis dan tempe orek dan dibawa di igd rumah sakit koja. sih"
,Pemerintah kok dungu...cerdas pk roky gerung..,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,Data tambahan kelas C4 berdasarkan karakteristik komentar ambigu,,C4,,,pemerintah kok dungu...cerdas pk roky gerung..,pemerintah kok dungu.cerdas pk roky gerung..,pemerintah kok dungu.cerdas pk roky gerung..
