Komentar_preprocessed,Kode Label,label
wah sudah parah kesal ini roman2 nya bang fery sampai gemeteran cuy bicara nya,C0,0
rakyat khawatir ternyata prabowo sejenis dia.😅,C4,4
ah pak pigai sudah banyak minum susu ini 😂 dan makan siang gratis ni.,C3,3
terus apa hubungan kewaspadaan dengan keturunan.jadi kalau bapaknya teroris apa anaknya teroris ya?,C0,0
yang bikin uu membolehkan siapa mirip pendukung 01 nihil koruptor banyak noh,C1,1
apa guna uud kalau hukuman mati sama perampasan aset bagi koruptor tidak di sahkan,C2,2
gog gog gog odgj lagi gong gong,C4,4
"mantap grace natalie,sukses terus untuk psi.",C0,0
"apa mendikbud tidak ikut bersalah dengan membiarkan berlakunya kurikulum aneh yaitu pengajaran konsep visi + misi + tupoksi ( yang menggantikan manajemen strategik mission vision values statement pada semua organisasi di indonesia ? konsep visi+misi ini sangat berbahaya bagi masa depan nkri & pancasila !? kalau anda diam saja, berarti anda tidak tahu bernegara ! pensiunan ka. bg. marketing di lini industri penerbitan buku gramedia ; 80 th.",C1,1
kalau sampai 3 priode rakyat tambah pecah.,C1,1
wapres disebut 'si gibran ',C0,0
"saya setuju bung, mereka menjelek2kan prabowo demi kekuasaan, dulu anis jadi gubenur menjatuhkan ahok sekarang menggunakan teknik yang sama",C3,3
"pdi kalau tidak ada pak jokowi, kasihan ya? kasihan ya?",C0,0
ciri2 paham komunis ada pada keluarga jkw.,C3,3
bongkar terus mas roy kebusukan keluarga solo perusak indonesia. terimakasih banyak kang dasa.,C3,3
"ini tni sudah kena sama komis tinggal tunggu saatnya api dalam sekam terjadi pembunuhan masal di mana"" sok buktikan tidak bakal lama lagi islam dan komunis saling bunuh pasti kita tonton saja akibat perbuatan"" pemimpin yang berfikiran dangkal.",C3,3
terus terang kami masyarakat desa. bersukur sama bapak. jokowi selama negara ini dipimpin. sama. bpk. joko. prabowo andika indonesia. menjadi negara. maju. aman. tentram. semua kasus. dibongkar. sama elit jokowi. yang ingin tipu. menipu rakyat. koruptor. sudah santun. kami mengharap 3.priode.bpk.prabowo.jokowi.andika.,C3,3
"jelas tahu lah, kan dapat bocoran wkwkwkw.",C4,4
indonesia harus tetap waspada bahaya laten komunisme.,C3,3
yang tidak tepuk tangan berarti hatinya masih hidup.. presiden di bully kok malah pada tepok tangan.. aneh.,C1,1
ijazah palsu tak mungkin mulyono berpikir dengan rasional.,C3,3
maaf ya ada ini otang kayak katanya dapat dana ini 800ribuan oadahal.ngak di terima pak.dan saya yqkin mana mau kawan tuh.8juta saja di kasih tampah pamrih mana lah mungkinn😮,C4,4
​ tetapi bukan pki mirip jokowi dan termulnya.,C2,2
saya rakyat kecil cuma penge harga kebutuhan pokok sepert sembako minyak goreng dan lain bbm itu murah harga bisa turun saya sebagai rakyat biasa malu kalau selalu dapat bantuan blt dari pemerintah sedang pemerintah sendiri banyak utangnya tolong pak presiden turunkan harga rakyat kecil biar tidak menderita 🙏,C0,0
"negara ini bukan milik bungkarno negara ini milik rakyat indonesia, pancasila bukan buatan sukarno tetapi buatan pemimpin"" dan wakil"" kerajaan di masa itu. negara ini bukan milik penguasa, partai, atau pun sukarno negara ini milik rakyat indonesia dan terserah rakyat indonesia roki gerung mengatakan kebenaran yang selama ini di tutupi",C0,0
pahami kata-kata nya..jangan sepotong sepotong. lebih baik mantan koruptor atau mantan kyai/pendeta?,C2,2
"coba melepas atau kasih ke rakyat itu orang yang korupsi, kira kira sama tidak kayak yang maling ayam,?",C1,1
"pemerintahan negeriku yang makin kesini makin kacau. efek politik yang tidak jelas arahny, korbanny ya para rakyat.",C1,1
benar-benar sudah dpr adalah rampok rakyat kok sebegitunya gaji dan tunjangan nya sementar rakyat banyak yang kelaparan pak presuden apakah bp sudah gila keputusan nya itu. klrapat hanya pada tidur boleh di bilang dpr ri itu yang mau menerima aspirasi rak yat dari 720 dpr ri tak lebih dari 5℅ apakah itu katanya wakil rakyat garong yang berjamaah,C1,1
"itulah indahnya demokrasi, tiap orang berhak pilih yang dia anggap paling bagus buar nkri, pilihan jangan karena satu partai atau karena atas dasar suka dan benci pribadi",C0,0
"memang sekarang presiden nya dari militer yang dipecat jadi sekarang setelah jadi penguasa seperti bingung sendiri seperti nya mimpi nya ingin seperti mertua nya harus dilakukan ,payah",C2,2
terserah h isam lah orang dia punya duit mau akuisisi partai p lagi krisis,C0,0
"👍sangat betul. katanya dapat jatah uang makan. itu omong kosong, bahkan btunjangan sertifikasi saja spe sekarang belum turun.",C2,2
gara-gara statement ini awal mula polemik sampai dengan hancurnya suara pdip. sekarang itu sudah banyak pemilih cerdas bu.,C1,1
mungkin yang tanya bini nya hilang ada bawa angin 😅,C4,4
kacau ya,C1,1
"dana desa dikasih beberapa tahun tidak ngefek ke pertumbuhan, ini coba dialihkan ke koperasi, apa salahnya ,, mnrtku tidak salah juga,, namanya juga di ujicoba ..semoga saja jalan dan bisa dongkrak pertumbuhan..saya bukan buzzer dan pendukung,tapi berpikir obyektif saja sih..",C1,1
"sombong sekali ibu ini ya, jangan marah-marah dong, kalau dalam rapat harus sopan kamu buk. saya curiga jangan-jangan maling teriak maling. dpr hampir 90% pejabat korup.",C3,3
sebenarnya kena tuh jerat hukum penyebab yang mengakibatkan korban kematian dan penganiayaan rakyat banyak dengan suruh mengantri bawa beban besi juga dia memonopoli seperti voc perdagangan rakyat kecil,C4,4
pelanggar konstitusi tidak sah dan tidak layak,C4,4
iya ini yag benar professor bukan seperti termul jokowi asbun asal bunyi ..demi uang,C4,4
"justru, andai saja pak jokowi tidak berada di naungan pdip pasti pak jokowi tidak akan punya pembenci sebanyak sekarang karena sebagian besar mereka yang benci pak jokowi hanya benci partai naungannya",C2,2
"​ terpilih jadi walikota rakyat yang memilih,bukan bim salabim. iri dengki jangan dipelihara, merusak organ tubuh terutama sirosis hati atau pendarahan otak",C0,0
"ini orang kayaknya sok hebat sekali dari nasdem.hati"" kamu ya",C2,2
pki gaya baru hati hati dia lah jokowi,C3,3
sedang melolong,C4,4
saya bukan pki. saya partai ummat sekarang dasar bocil lu.terlalu menganggap remeh partai. kamu buzerr ya bong. mendewa2kan jokowi,C3,3
pikiran keluarga pki ini bisa di tutupi ternyata😂,C3,3
sekali bicara langsung di aduin buzzer gan,C2,2
yang jelas saya pilih presiden yang bisa imam shalat dan imam keluarganya 😂,C0,0
mirip mural dia cipokan sama owo haha,C4,4
"faktany memang begitu, dana desa dipotong 700sd 800 juta",C0,0
